    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
   264        4.57028        96.5714         17.436    3.73549e+07        28.4405    2.24665e+12
   265          4.571        96.6403         17.436    3.73549e+07        28.4299    2.22307e+12
   266        4.57171        96.7092         17.436    3.73549e+07        28.4194    2.19973e+12
   267        4.57242        96.7782         17.436    3.73549e+07        28.4088    2.17662e+12
   268        4.57313        96.8472         17.436    3.73549e+07        28.3982    2.15374e+12
   269        4.57385        96.9163         17.436    3.73549e+07        28.3876    2.13108e+12
   270        4.57456        96.9855         17.436    3.73549e+07        28.3771    2.10864e+12
   271        4.57527        97.0546         17.436    3.73549e+07        28.3665    2.08643e+12
   272        4.57599        97.1239         17.436    3.73549e+07        28.3559    2.06444e+12
   273         4.5767        97.1932         17.436    3.73549e+07        28.3453    2.04267e+12
   274        4.57741        97.2625         17.436    3.73549e+07        28.3347    2.02111e+12
   275        4.57813        97.3319         17.436    3.73549e+07        28.3241    1.99976e+12
   276        4.57884        97.4013         17.436    3.73549e+07        28.3134    1.97863e+12
   277        4.57955        97.4708         17.436    3.73549e+07        28.3028    1.95771e+12
   278        4.58027        97.5403         17.436    3.73549e+07        28.2922      1.937e+12
   279        4.58098        97.6099         17.436    3.73549e+07        28.2815     1.9165e+12
   280        4.58169        97.6795         17.436    3.73549e+07        28.2709     1.8962e+12
   281        4.58241        97.7492         17.436    3.73549e+07        28.2602     1.8761e+12
   282        4.58312        97.8189         17.436    3.73549e+07        28.2496    1.85621e+12
   283        4.58383        97.8887         17.436    3.73549e+07        28.2389    1.83651e+12
   284        4.58454        97.9585         17.436    3.73549e+07        28.2282    1.81701e+12
   285        4.58526        98.0284         17.436    3.73549e+07        28.2175    1.79771e+12
   286        4.58597        98.0983         17.436    3.73549e+07        28.2068     1.7786e+12
   287        4.58668        98.1683         17.436    3.73549e+07        28.1962    1.75969e+12
   288         4.5874        98.2384         17.436    3.73549e+07        28.1855    1.74096e+12
   289        4.58811        98.3084         17.436    3.73549e+07        28.1748    1.72243e+12
   290        4.58882        98.3786         17.436    3.73549e+07         28.164    1.70408e+12
   291        4.58954        98.4487         17.436    3.73549e+07        28.1533    1.68591e+12
   292        4.59025         98.519         17.436    3.73549e+07        28.1426    1.66793e+12
   293        4.59096        98.5892         17.436    3.73549e+07        28.1319    1.65014e+12
   294        4.59168        98.6596         17.436    3.73549e+07        28.1211    1.63252e+12
   295        4.59239          98.73         17.436    3.73549e+07        28.1104    1.61508e+12
   296         4.5931        98.8004         17.436    3.73549e+07        28.0997    1.59782e+12
   297        4.59381        98.8709         17.436    3.73549e+07        28.0889    1.58074e+12
   298        4.59453        98.9414         17.436    3.73549e+07        28.0782    1.56383e+12
   299        4.59524         99.012         17.436    3.73549e+07        28.0674    1.54709e+12
   300        4.59595        99.0826         17.436    3.73549e+07        28.0566    1.53052e+12
   301        4.59667        99.1533         17.436    3.73549e+07        28.0459    1.51412e+12
   302        4.59738         99.224         17.436    3.73549e+07        28.0351    1.49789e+12
   303        4.59809        99.2948         17.436    3.73549e+07        28.0243    1.48182e+12
   304        4.59881        99.3656         17.436    3.73549e+07        28.0135    1.46592e+12
   305        4.59952        99.4365         17.436    3.73549e+07        28.0027    1.45018e+12
   306        4.60023        99.5074         17.436    3.73549e+07        27.9919    1.43461e+12
   307        4.60095        99.5784         17.436    3.73549e+07        27.9811    1.41919e+12
   308        4.60166        99.6495         17.436    3.73549e+07        27.9703    1.40393e+12
   309        4.60237        99.7205         17.436    3.73549e+07        27.9595    1.38883e+12
   310        4.60308        99.7917         17.436    3.73549e+07        27.9487    1.37389e+12
   311         4.6038        99.8629         17.436    3.73549e+07        27.9378     1.3591e+12
   312        4.60451        99.9341         17.436    3.73549e+07         27.927    1.34446e+12
   313        4.60522        100.005         17.436    3.73549e+07        27.9162    1.32997e+12
   314        4.60594        100.077         17.436    3.73549e+07        27.9053    1.31563e+12
   315        4.60665        100.148         17.436    3.73549e+07        27.8945    1.30144e+12
